"","coefficient","sd","obs.p","corrected.p","p.BH"
"ENSG00000001626",-0.0268004778723745,0.0580938134231053,0.646033447749242,0.638170221247758,0.812141671902031
"ENSG00000004766",-0.0170828985477224,0.037431515443652,0.649551924674485,0.641591920802605,0.812141671902031
"ENSG00000005379",-0.0229599684082388,0.0539983401582956,0.672015734777241,0.66519168161584,0.813587217116423
"ENSG00000000003",0.0475607267407112,0.112271220881179,0.673139280978433,0.666374327287223,0.813587217116423
"ENSG00000005100",0.0190938439708504,0.0463168894030186,0.681438834149391,0.675250813899409,0.813587217116423
"ENSG00000005448",-0.0399907293629767,0.0970117033056933,0.681451843244207,0.675277390206631,0.813587217116423
"ENSG00000005513",0.0290864786193292,0.0762765050126317,0.704130500606893,0.697614776426815,0.830493781460495
"ENSG00000004468",-0.0404991585897004,0.121694713347121,0.740285117553843,0.734562487542356,0.855540773772275
"ENSG00000002330",0.0275364237774365,0.0831257418816106,0.741436030929552,0.735765065444157,0.855540773772275
"ENSG00000005059",-0.0270506516221791,0.0949100880255458,0.776487576165386,0.772141385954422,0.88751883443037
"ENSG00000005249",-0.0168018464096126,0.0646734698716602,0.795795503259409,0.791774632914756,0.899743901039496
"ENSG00000005238",0.0110489519073616,0.0467227366925246,0.813751527016105,0.810125573051624,0.910253452866994
"ENSG00000004487",0.00447228411576315,0.020832331612627,0.830659361837425,0.827154341904192,0.919060379893547
"ENSG00000006007",-0.00690082136221679,0.0356119109943443,0.846927044269185,0.8441100259119,0.923324464935162
"ENSG00000005189",0.0129282987565367,0.0690902203160736,0.852106299080079,0.849458507740349,0.923324464935162
"ENSG00000004059",-0.00795485653549285,0.0476164316822569,0.867810556793344,0.865497309148894,0.930642267902036
"ENSG00000005810",-0.00456248061324062,0.0320738375837836,0.887297647932791,0.88584147232742,0.94238454502917
"ENSG00000005302",0.00340014579307613,0.0292903966313319,0.907918372929926,0.9066108564215,0.953051292272939
"ENSG00000004961",0.00448059986985376,0.0423244908108215,0.91599817447592,0.914929240582021,0.953051292272939
"ENSG00000001461",-0.00381382805877719,0.0407200344939668,0.92565486731709,0.924563151950037,0.953157888608285
"ENSG00000002746",-0.00253062562923506,0.0367985789485685,0.945369040411681,0.944508670520231,0.963784357673705
"ENSG00000004399",0.00206169709198078,0.0827694390952437,0.980199512943854,0.980041193276194,0.986266693242974
"ENSG00000005889",0.000427850223079928,0.0247805684791197,0.986274594177039,0.986266693242974,0.986266693242974
