"","coefficient","sd","obs.p","corrected.p","p.BH"
"ENSG00000006042",-0.106742013349137,0.0952863465073271,0.26667840517057,0.296604876752375,0.520359432898904
"ENSG00000002746",0.0429729093689615,0.041019279434235,0.298690423406932,0.328091156733772,0.565674408161675
"ENSG00000005889",-0.0256804589401046,0.0255321747775907,0.318295801948672,0.346634775098,0.570876225135614
"ENSG00000001626",-0.0671396078118367,0.0670538444273597,0.320404931730624,0.34852169291077,0.570876225135614
"ENSG00000002933",0.100359712575493,0.100245176918059,0.320470389806083,0.348588133678825,0.570876225135614
"ENSG00000005075",-0.0533750552186894,0.0538603703798461,0.326030655947353,0.353943259584081,0.570876225135614
"ENSG00000003756",-0.0349417575297543,0.0359770503440758,0.335093379564301,0.362926051425154,0.571380383618773
"ENSG00000001460",-0.0510071180349335,0.0531251066320909,0.340493066811134,0.368121719487077,0.571380383618773
"ENSG00000004139",0.0661313037187503,0.0693193948084448,0.343668750161983,0.371397249352203,0.571380383618773
"ENSG00000005189",-0.0652988637007898,0.0729003353117927,0.373703361992312,0.4001195933825,0.606241808155302
"ENSG00000004838",-0.181848584849261,0.206406525381542,0.381503310124328,0.408218723008438,0.609281676131997
"ENSG00000004866",0.0239450634365526,0.0285161248092481,0.404153107125435,0.429612650322238,0.631783309297408
"ENSG00000001036",-0.0599137364829221,0.0724225815042386,0.411059670510332,0.43599760813235,0.631880591496159
"ENSG00000005810",-0.0301966852412891,0.037161473499181,0.419424886206387,0.444256195601621,0.634651708002316
"ENSG00000002016",0.0485999352854466,0.0690086986398237,0.483826828042049,0.505667397515115,0.706219857052232
"ENSG00000001461",-0.0302961629417471,0.0440120911934337,0.493713764181368,0.514995681350076,0.706219857052232
"ENSG00000006025",0.0592021783183818,0.0861155364326602,0.494268100119839,0.51554049564813,0.706219857052232
"ENSG00000004142",-0.0203739081171037,0.0310057830316417,0.513401422121717,0.534608996079995,0.72244458929729
"ENSG00000005486",0.0419447296194608,0.0667918591627116,0.532209684793726,0.553325360441167,0.729038811899192
"ENSG00000001497",-0.0356152307881106,0.0568266487338629,0.533028298327477,0.554069497043386,0.729038811899192
"ENSG00000002586",0.0570111290298922,0.107449858686885,0.597543728800153,0.61623812371271,0.800309251574948
"ENSG00000003249",-0.0386473698235821,0.0745914410372642,0.60613324658408,0.624304032954621,0.800389785839258
"ENSG00000004455",0.0158486772355639,0.0321467903241288,0.62366725376957,0.641233140655106,0.81168751981659
"ENSG00000004478",0.0337993439186503,0.0703929722357673,0.632731087458258,0.649617965583682,0.812022456979603
"ENSG00000005469",-0.0245138653009739,0.0527646075338472,0.64377817268353,0.660248488472527,0.815121590706823
"ENSG00000002330",0.0285930937401381,0.067034437456516,0.671376908217962,0.686353066241446,0.828260220471281
"ENSG00000005302",-0.012803065846152,0.0301543183007816,0.672520277297075,0.687455982991163,0.828260220471281
"ENSG00000005513",0.0332086794714929,0.0855362852555499,0.699087309534075,0.713068899076473,0.843453825620342
"ENSG00000005238",0.0188119339602582,0.0491427472391789,0.703096789217376,0.716935751777291,0.843453825620342
"ENSG00000005156",0.0122971402549758,0.0348242280886382,0.72515874198865,0.738429340243173,0.845134119750424
"ENSG00000004468",0.0447635686418092,0.128615844813903,0.728934145633868,0.742209819945519,0.845134119750424
"ENSG00000001167",-0.0102804587070602,0.0297086313271489,0.730428113468889,0.743718025380373,0.845134119750424
"ENSG00000005194",-0.0142022138555871,0.0472394737363442,0.76464632326228,0.775928509733573,0.871829786217497
"ENSG00000004975",0.0198046596576045,0.0755692145036842,0.794106752264398,0.804704006378314,0.883712224315464
"ENSG00000003400",-0.0247294984018164,0.0988565192032883,0.803244160856246,0.813208424689389,0.883712224315464
"ENSG00000006015",-0.0167167486104311,0.0686443389958867,0.808352541931119,0.818344296060062,0.883712224315464
"ENSG00000000003",0.0268538233578058,0.112278238202818,0.811713283179366,0.821852368613381,0.883712224315464
