"","genes","R2losePvalue","R2gainPvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"48","ENSG00000004478",0.000574188128207143,0.999425811871793,0.177073574653523,0.0674580389359992,0.331288417718841
"49","ENSG00000004487",0.138651322748125,0.861348677251875,0.598026001656079,0.0482076264271597,0.874343461206037
"50","ENSG00000004534",0.0134057817722468,0.986594218227753,0.449607436642873,0.751999081298995,0.199805380444966
"51","ENSG00000004660",0.424760200905404,0.575239799094596,0.472363418776556,0.422270037654653,0.637348822309929
"52","ENSG00000004700",0.0753334824207771,0.924666517579223,0.2491674272141,0.425159110552369,0.436902768795595
"53","ENSG00000004766",0.410822539603871,0.589177460396129,0.980489691812077,0.168212945222453,0.667907718901669
"54","ENSG00000004777",0.0206889048721374,0.979311095127863,0.00374128896168657,0.81030637469704,0.464348961323896
"55","ENSG00000004779",0.186901257774205,0.813098742225795,0.102332412617633,0.337785809695922,0.682691552181613
"56","ENSG00000004799",0.902261092408024,0.0977389075919759,0.0115200270775033,0.839777335887967,0.0170141008516117
"57","ENSG00000004838",0.314564432974113,0.685435567025887,0.0269022248278946,0.932263933128237,0.134565520909514
"58","ENSG00000004848",0.516219303600462,0.483780696399538,0.935630488785199,0.562402161364996,0.174347692065929
"59","ENSG00000004864",0.855528222857523,0.144471777142477,0.212334769811001,0.735275096554267,0.0666602196420693
"60","ENSG00000004866",0.602341478745973,0.397658521254027,0.789520764455942,0.661434503266828,0.7459731279956
"61","ENSG00000004897",0.179666487358795,0.820333512641205,0.417519386404434,0.254625236474848,0.358238995231216
"62","ENSG00000004961",0.342107330871376,0.657892669128624,0.547279859293688,0.685997666982974,0.916772941837765
"63","ENSG00000004975",0.299303116934923,0.700696883065077,0.576726644142374,0.419810094831702,0.751255658775106
"64","ENSG00000005007",0.386029700636442,0.613970299363558,0.473124973557126,0.307021414195139,0.226302651540335
"65","ENSG00000005020",0.951665447776079,0.0483345522239212,0.0842908172208086,0.440946262035285,0.415669896223051
"66","ENSG00000005022",0.420251313077588,0.579748686922412,0.758158004484711,0.698430350980048,0.790699361140156
"67","ENSG00000005059",0.00948921432931805,0.990510785670682,0.0107463841258136,0.966515765997183,0.303582329511457
"68","ENSG00000005075",0.10209669328079,0.89790330671921,0.452726184791872,0.123269124997733,0.621501229971412
